gene	transcript	exper_rep1	exper_rep2	exper_rep3	control_rep1	control_rep2	control_rep3
Ccnk	uc011yrr.1	197.00	196.00	82.00	420.00	239.00	236.00
Vmn2r3	uc009vck.1	0.00	0.00	2.00	0.00	0.00	0.00
Zim1	uc009fbv.1,uc012exl.1	0.00	0.00	0.00	1.00	0.00	1.00
DQ717831	uc008zbv.2	0.00	0.00	0.00	0.00	0.00	0.00
DQ687312	uc029vln.1	0.00	0.00	0.00	0.00	0.00	0.00
4933406C10Rik	uc007nig.1,uc029rru.1	2.00	1.00	0.00	1.02	2.00	1.98
Numbl	uc009fvq.1,uc009fvr.1	12.00	14.00	9.00	21.00	6.00	7.00
Tmem229a	uc009bcc.1	8.00	11.00	10.00	20.00	16.00	23.00
Ptplad2	uc008tmx.2,uc008tmy.2	18.00	14.00	16.00	22.10	19.23	9.00
Bpifb6	uc008nio.2	0.00	0.00	0.00	0.00	0.00	0.00
FJ541083	uc029ygs.1	0.00	0.00	0.00	0.00	0.00	0.00
Ppp1r9b	uc007kzr.2,uc007kzs.2	144.00	198.00	90.00	205.00	122.08	140.00
Taar2	uc007eqe.1	0.00	0.00	0.00	0.00	0.00	0.00
Gm8234	uc012cpw.1	8.51	12.76	2.34	17.94	5.71	6.53
Usp53	uc008rez.1,uc008rfa.1,uc008rfb.1,uc008rfc.1,uc008rfd.1	26.00	15.00	14.00	116.00	62.00	73.00
Eftud1	uc009ide.2,uc009idf.2,uc009idg.2	104.00	96.00	47.00	220.00	113.00	139.79
DQ718121	uc008ywe.2	0.00	0.00	0.00	0.00	0.00	0.00
AK080597	uc008okw.1	0.00	0.00	0.00	0.00	0.00	0.00
Olfr18	uc009oii.1,uc012gou.1	0.00	0.00	0.00	0.00	0.00	0.00
